2019-12-19 17:29:33.796  INFO 177512 --- [main] c.p.e.S.ServiceDiscoveryApplicationTests : No active profile set, falling back to default profiles: default
2019-12-19 17:29:35.331  WARN 177512 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-12-19 17:29:35.608  INFO 177512 --- [main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=9ce686f9-297f-34dd-a1cc-26e37bd8d72b
2019-12-19 17:29:36.120  INFO 177512 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-12-19 17:29:36.558  WARN 177512 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-12-19 17:29:36.558  INFO 177512 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-19 17:29:36.570  WARN 177512 --- [main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-12-19 17:29:36.570  INFO 177512 --- [main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-12-19 17:29:37.559  INFO 177512 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2019-12-19 17:29:40.334  WARN 177512 --- [main] ockingLoadBalancerClientRibbonWarnLogger : You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2019-12-19 17:29:40.585  WARN 177512 --- [main] iguration$LoadBalancerCaffeineWarnLogger : Spring Cloud LoadBalancer is currently working with default default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2019-12-19 17:29:41.047  INFO 177512 --- [main] o.s.c.n.eureka.InstanceInfoFactory       : Setting initial instance status as: STARTING
2019-12-19 17:29:41.436  INFO 177512 --- [main] com.netflix.discovery.DiscoveryClient    : Initializing Eureka in region us-east-1
2019-12-19 17:29:41.437  INFO 177512 --- [main] com.netflix.discovery.DiscoveryClient    : Client configured to neither register nor query for data.
2019-12-19 17:29:41.470  INFO 177512 --- [main] com.netflix.discovery.DiscoveryClient    : Discovery Client initialized at timestamp 1576756781468 with initial instances count: 0
2019-12-19 17:29:41.582  INFO 177512 --- [main] c.n.eureka.DefaultEurekaServerContext    : Initializing ...
2019-12-19 17:29:41.586  INFO 177512 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : Adding new peer nodes [http://localhost:8761/eureka/]
2019-12-19 17:29:42.416  INFO 177512 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON encoding codec LegacyJacksonJson
2019-12-19 17:29:42.417  INFO 177512 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using JSON decoding codec LegacyJacksonJson
2019-12-19 17:29:42.417  INFO 177512 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML encoding codec XStreamXml
2019-12-19 17:29:42.417  INFO 177512 --- [main] c.n.d.provider.DiscoveryJerseyProvider   : Using XML decoding codec XStreamXml
2019-12-19 17:29:42.800  INFO 177512 --- [main] c.n.eureka.cluster.PeerEurekaNodes       : Replica node URL:  http://localhost:8761/eureka/
